USN,Name ,Sub1,Sub2,Sub3,Sub4,Total,Average
1DS25AI01,Danish,67,56,45,34,202,50.5
1DS25AI02,Gagan,78,78,78,78,312,78
1DS25AI03,Pranav,45,45,45,45,180,45
1DS25AI04,Farhan,56,35,14,96,201,50.25
1DS25AI05,Jagan,56,56,56,56,224,56
1DS25AI06,Harish,75,98,45,75,293,73.25
1DS25AI07,Harshith,98,35,85,85,303,75.75
1DS25AI08,Deekshith,85,56,27,95,263,65.75
1DS25AI09,Manish,56,87,45,85,273,68.25
1DS25AI10,Mohan,56,46,36,26,164,41
1DS25AI11,Karthik,78,97,48,95,318,79.5
1DS25AI12,Karan,88,46,95,85,314,78.5
1DS25AI13,Tarun,86,97,85,52,320,80
1DS25AI14,Rohan,65,46,27,78,216,54
1DS25AI15,Pratyush,58,35,12,85,190,47.5
